arvo_id,project,harness,completed,patch_generated,run_status,vuln_id,vuln_function,vuln_file,total_cost_usd,total_llm_calls,failure_category,failure_reason_summary,failure_phase,failure_error,patch_failure_reason,last_validation_status,last_validation_message
10084,harfbuzz,hb-subset-fuzzer,yes,yes,completed,29,ContextFormat2::closure,harfbuzz/src/hb-ot-layout-gsubgpos.hh,0.05578825,10,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
10606,open62541,fuzz_binary_message,yes,yes,completed,218,createDummyConnection,open62541/tests/testing-plugins/testing_networklayers.c,0.10205965,15,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
10624,open62541,fuzz_binary_message,yes,yes,completed,221,LLVMFuzzerTestOneInput,open62541/tests/fuzz/fuzz_binary_message.cc,0.07103425,15,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
10881,harfbuzz,hb-shape-fuzzer,yes,yes,completed,30,has_data,harfbuzz/src/hb-ot-kern-table.hh,0.12355769999999999,18,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
10899,harfbuzz,hb-shape-fuzzer,yes,yes,completed,31,KerxSubTableFormat6::sanitize,harfbuzz/src/hb-aat-layout-kerx-table.hh,0.052598700000000005,9,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
11060,harfbuzz,hb-shape-fuzzer,yes,yes,completed,32,Lookup::sanitize,harfbuzz/src/hb-aat-layout-common.hh,0.04550105,7,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
11081,harfbuzz,hb-subset-fuzzer,yes,no,completed,33,Script::subset,harfbuzz/src/hb-ot-layout-common.hh,0.08628515,13,genuine_patch_failed_validation,patch was produced but PoV still crashes,,,the agent did not produce a result,pov_still_crashes,Patch validation failed because a known PoV still reproduces
11171,skia,api_polyutils,yes,yes,completed,37,ReflexHash::hash,skia/src/utils/SkPolyUtils.cpp,0.0574938,7,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
11245,harfbuzz,hb-shape-fuzzer,yes,no,completed,34,OT::KernSubTableFormat3<OT::KernOTSubTableHeader>::get_kerning,harfbuzz/src/hb-ot-kern-table.hh,0.11053315,16,genuine_no_patch_agent_stopped,patching completed without any patch attempt,,,the agent did not produce a result,,
11351,harfbuzz,hb-subset-fuzzer,yes,no,completed,35,OT::hdmx::serialize,harfbuzz/src/hb-ot-hdmx-table.hh,0.11645269999999999,26,genuine_patch_failed_validation,patch was produced but PoV still crashes,,,the agent did not produce a result,pov_still_crashes,Patch validation failed because a known PoV still reproduces
11585,skia,api_mock_gpu_canvas,yes,no,completed,38,fuzz_canvas,skia/fuzz/FuzzCanvas.cpp,0.22084789999999999,33,genuine_patch_failed_build,patch was produced but validation build failed,,,the agent did not produce a result,build_failed,Patch validation failed during build
11713,harfbuzz,hb-subset-fuzzer,yes,no,completed,39,CFF2VariationStore::serialize,harfbuzz/src/hb-ot-cff2-table.hh,0.08728614999999999,14,genuine_no_patch_agent_stopped,patching completed without any patch attempt,,,the agent did not produce a result,,
11753,yara,rules_fuzzer,yes,yes,completed,40,yr_re_ast_split_at_chaining_point,yara/libyara/re.c,0.05679835,8,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
12312,harfbuzz,hb-shape-fuzzer,yes,yes,completed,41,AAT::ContextualSubtable<AAT::ObsoleteTypes>::driver_context_t::driver_context_t,harfbuzz/src/hb-aat-layout-morx-table.hh,0.053221,6,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
12419,libxml2,libxml2_xml_reader_for_file_fuzzer,yes,no,completed,42,xmlTextReaderRemoveID,libxml2/xmlreader.c,0.16316229999999998,32,genuine_patch_failed_validation,patch was produced but PoV still crashes,,,the agent did not produce a result,pov_still_crashes,Patch validation failed because a known PoV still reproduces
14637,harfbuzz,hb-subset-fuzzer,yes,no,completed,43,OT::NameRecord::copy,harfbuzz/src/hb-ot-name-table.hh,0.2151324,43,genuine_patch_failed_validation,patch was produced but PoV still crashes,,,the agent did not produce a result,pov_still_crashes,Patch validation failed because a known PoV still reproduces
14916,gdal,gtiff_mmap,yes,no,completed,44,GTiffDataset::ReadStrile,gdal/gdal/frmts/gtiff/geotiff.cpp,0.06782755,8,genuine_patch_failed_validation,patch was produced but PoV still crashes,,,the agent did not produce a result,pov_still_crashes,Patch validation failed because a known PoV still reproduces
15776,imagemagick,ping_eps_fuzzer,yes,no,completed,45,ReadPSInfo,imagemagick/coders/ps.c,0.08053605,8,genuine_invalid_patch_hunk,agent produced malformed patch hunks,,,the agent did not produce a result,,
15827,imagemagick,encoder_jnx_fuzzer,yes,no,completed,46,ReadICCProfile,imagemagick/coders/jpeg.c,0.05685575,8,genuine_invalid_patch_hunk,agent produced malformed patch hunks,,,the agent did not produce a result,,
17228,matio,matio_fuzzer,yes,yes,completed,47,Mat_H5ReadNextReferenceData,matio/src/mat73.c,0.57299795,6,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
18733,ndpi,fuzz_process_packet,yes,no,completed,264,getSSCertificateFingerprint,ndpi/src/lib/protocols/tls.c,0.06293315,7,genuine_no_patch_agent_stopped,patching completed without any patch attempt,,,the agent did not produce a result,,
20061,open62541,fuzz_json_decode,yes,yes,completed,48,Variant_decodeJsonUnwrapExtensionObject,open62541/src/ua_types_encoding_json.c,0.05607525,7,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
20113,arrow,arrow-ipc-stream-fuzz,yes,no,completed,49,Visit,arrow/cpp/src/arrow/array/validate.cc,0.04859645,5,genuine_no_patch_agent_stopped,patching completed without any patch attempt,,,the agent did not produce a result,,
20115,arrow,arrow-ipc-stream-fuzz,yes,no,completed,50,ValidateListArray,arrow/cpp/src/arrow/array/validate.cc,0.415716,12,genuine_patch_failed_validation,patch was produced but PoV still crashes,,,the agent did not produce a result,pov_still_crashes,Patch validation failed because a known PoV still reproduces
20116,arrow,arrow-ipc-stream-fuzz,yes,yes,completed,204,UnionFromFlatbuffer,arrow/cpp/src/arrow/ipc/metadata_internal.cc,0.056792749999999996,6,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
20120,arrow,arrow-ipc-stream-fuzz,yes,no,completed,238,GetNullCount,arrow/cpp/src/arrow/array.cc,0.61052425,23,genuine_patch_failed_validation,patch was produced but PoV still crashes,,,the agent did not produce a result,pov_still_crashes,Patch validation failed because a known PoV still reproduces
20123,arrow,arrow-ipc-stream-fuzz,yes,yes,completed,51,FieldFromFlatbuffer,arrow/cpp/src/arrow/ipc/metadata_internal.cc,0.05377155,6,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
20124,arrow,arrow-ipc-file-fuzz,yes,yes,completed,232,ReadFooter,arrow/cpp/src/arrow/ipc/reader.cc,0.05438335,6,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
20135,arrow,arrow-ipc-stream-fuzz,yes,no,completed,52,Visit,arrow/cpp/src/arrow/array/validate.cc,0.0544957,5,genuine_no_patch_agent_stopped,patching completed without any patch attempt,,,the agent did not produce a result,,
20139,arrow,arrow-ipc-stream-fuzz,yes,yes,completed,53,Visit,arrow/cpp/src/arrow/array/validate.cc,0.07224944999999999,7,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
20186,arrow,arrow-ipc-stream-fuzz,yes,yes,completed,213,ValidateListArray,arrow/cpp/src/arrow/array/validate.cc,0.0523691,8,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
20199,arrow,arrow-ipc-stream-fuzz,yes,yes,completed,212,ArrayData::GetNullCount,arrow/cpp/src/arrow/array.cc,0.1439704,6,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
20203,arrow,arrow-ipc-stream-fuzz,yes,no,completed,265,Visit,arrow/cpp/src/arrow/array/validate.cc,0.0519981,6,genuine_no_patch_agent_stopped,patching completed without any patch attempt,,,the agent did not produce a result,,
20712,ndpi,fuzz_process_packet,yes,yes,completed,266,search_valid_dns,ndpi/src/lib/protocols/dns.c,0.054536650000000006,7,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
20944,harfbuzz,hb-draw-fuzzer,yes,yes,completed,54,OT::gvar::get_offset,harfbuzz/src/hb-ot-var-gvar-table.hh,0.1075081,7,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
21026,harfbuzz,hb-draw-fuzzer,yes,no,completed,55,calculate_scalar,harfbuzz/src/hb-ot-var-gvar-table.hh,0.18204795,43,genuine_patch_failed_validation,patch was produced but PoV still crashes,,,the agent did not produce a result,pov_still_crashes,Patch validation failed because a known PoV still reproduces
21257,ndpi,fuzz_ndpi_reader,yes,no,completed,267,concat_hash_string,ndpi/src/lib/protocols/ssh.c,0.05744199999999999,7,genuine_no_patch_agent_stopped,patching completed without any patch attempt,,,the agent did not produce a result,,
21263,ndpi,fuzz_process_packet,yes,no,completed,226,search_valid_dns,ndpi/src/lib/protocols/dns.c,0.06614265,10,genuine_no_patch_agent_stopped,patching completed without any patch attempt,,,the agent did not produce a result,,
21289,ndpi,fuzz_process_packet,yes,no,completed,269,ndpi_search_fix,ndpi/src/lib/protocols/fix.c,0.07139229999999999,17,genuine_patch_failed_validation,patch was produced but PoV still crashes,,,the agent did not produce a result,pov_still_crashes,Patch validation failed because a known PoV still reproduces
22909,skia,image_filter_deserialize_width,yes,yes,completed,202,SkVertices::Decode,skia/src/core/SkVertices.cpp,0.053415599999999994,7,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
23046,ndpi,fuzz_ndpi_reader,yes,yes,completed,56,ndpi_http_check_content,ndpi/src/lib/protocols/http.c,0.45926125,6,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
23120,libxml2,xml,yes,yes,completed,57,xmlTextReaderFreeProp,libxml2/xmlreader.c,0.059778950000000004,7,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
23140,php,php-fuzz-parser,yes,yes,completed,58,zend_compile_attributes,php-src/Zend/zend_compile.c,0.07429555,9,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
23314,rdkit,mol_data_stream_to_mol_fuzzer,yes,yes,completed,59,ParseSGroupV2000VectorDataLine,rdkit/Code/GraphMol/FileParsers/MolSGroupParsing.cpp,0.0812721,10,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
23427,rdkit,mol_data_stream_to_mol_fuzzer,yes,no,completed,241,labelRecursivePatterns,rdkit/Code/GraphMol/SmilesParse/SmilesParse.cpp,0.07714209999999999,12,genuine_patch_failed_validation,patch was produced but PoV still crashes,,,the agent did not produce a result,pov_still_crashes,Patch validation failed because a known PoV still reproduces
24101,arrow,arrow-ipc-stream-fuzz,yes,no,completed,203,PutOffsets,arrow/cpp/src/arrow/array/concatenate.cc,0.1265985,14,genuine_patch_failed_validation,patch was produced but PoV still crashes,,,the agent did not produce a result,pov_still_crashes,Patch validation failed because a known PoV still reproduces
24399,rdkit,mol_data_stream_to_mol_fuzzer,yes,yes,completed,293,completeMolQueries,rdkit/Code/GraphMol/QueryOps.cpp,0.0773269,8,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
24406,rdkit,mol_data_stream_to_mol_fuzzer,yes,yes,completed,239,ParseMarvinSmartsLine,rdkit/Code/GraphMol/FileParsers/MolFileParser.cpp,0.13856115,7,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
24422,rdkit,smiles_string_to_mol_fuzzer,yes,yes,completed,235,handleCXPartAndName,rdkit/Code/GraphMol/SmilesParse/SmilesParse.cpp,0.0697886,6,success,patch generated and validated,,,,validated_patch_accepted,Patch validation succeeded
